name1|name2
myeloid dendritic cell activation|myeloid dendritic cell activation involved in immune response
myeloid dendritic cell activation|myeloid dendritic cell differentiation
microglial cell activation|microglial cell activation involved in immune response
leukocyte homeostasis|neutrophil homeostasis
leukocyte homeostasis|lymphocyte homeostasis
leukocyte homeostasis|mast cell homeostasis
leukocyte homeostasis|monocyte homeostasis
leukocyte homeostasis|dendritic cell homeostasis
leukocyte homeostasis|macrophage homeostasis
natural killer cell differentiation|natural killer cell differentiation involved in immune response
B cell homeostasis|B-1 B cell homeostasis
natural killer cell proliferation|natural killer cell proliferation involved in immune response
type IIa hypersensitivity|antibody-dependent cellular cytotoxicity
NK T cell proliferation|NK T cell proliferation involved in immune response
leukocyte mediated cytotoxicity|antibody-dependent cellular cytotoxicity
leukocyte mediated cytotoxicity|T cell mediated cytotoxicity
leukocyte mediated cytotoxicity|natural killer cell mediated cytotoxicity
leukocyte mediated cytotoxicity|neutrophil mediated cytotoxicity
leukocyte mediated cytotoxicity|microglial cell mediated cytotoxicity
T cell mediated cytotoxicity|T cell mediated cytotoxicity directed against tumor cell target
B-1 B cell differentiation|B-1a B cell differentiation
B-1 B cell differentiation|B-1b B cell differentiation
somatic diversification of immune receptors|somatic diversification of DSCAM-based immune receptors
somatic diversification of immune receptors|somatic diversification of variable lymphocyte receptors of jawless fish
somatic diversification of immune receptors|somatic diversification of immune receptors via germline recombination within a single locus
somatic diversification of immune receptors|somatic diversification of immune receptors via alternate splicing
somatic diversification of immune receptors|somatic diversification of immune receptors via gene conversion
somatic diversification of immune receptors|somatic diversification of immune receptors via somatic mutation
somatic diversification of immune receptors|somatic diversification of FREP-based immune receptors
somatic diversification of immune receptors|somatic diversification of T cell receptor genes
somatic diversification of immune receptors|somatic diversification of immune receptors by N region addition
somatic diversification of immune receptors|somatic diversification of immunoglobulins
somatic recombination of immunoglobulin genes involved in immune response|isotype switching
gene conversion of immunoglobulin genes|gene conversion of immunoglobulin genes involved in immune response
somatic diversification of immunoglobulins involved in immune response|somatic recombination of immunoglobulin genes involved in immune response
somatic diversification of immunoglobulins involved in immune response|somatic hypermutation of immunoglobulin genes involved in immune response
somatic diversification of immunoglobulins involved in immune response|gene conversion of immunoglobulin genes involved in immune response
activation of innate immune response|innate immune response-activating signal transduction
activation of innate immune response|induced systemic resistance, jasmonic acid mediated signaling pathway
activation of innate immune response|induced systemic resistance, ethylene mediated signaling pathway
activation of innate immune response|defense response signaling pathway, resistance gene-dependent
activation of innate immune response|defense response signaling pathway, resistance gene-independent
innate immune response activating cell surface receptor signaling pathway|stimulatory killer cell immunoglobulin-like receptor signaling pathway
innate immune response activating cell surface receptor signaling pathway|stimulatory C-type lectin receptor signaling pathway
innate immune response activating cell surface receptor signaling pathway|cell surface pattern recognition receptor signaling pathway
pattern recognition receptor signaling pathway|toll-like receptor signaling pathway
pattern recognition receptor signaling pathway|cell surface pattern recognition receptor signaling pathway
pattern recognition receptor signaling pathway|cytoplasmic pattern recognition receptor signaling pathway
pattern recognition receptor signaling pathway|intracellular vesicle pattern recognition receptor signaling pathway
toll-like receptor signaling pathway|MyD88-dependent toll-like receptor signaling pathway
toll-like receptor signaling pathway|MyD88-independent toll-like receptor signaling pathway
toll-like receptor signaling pathway|toll-like receptor 1 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 2 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 3 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 4 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 5 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 6 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 7 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 8 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 9 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 10 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 11 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 12 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 13 signaling pathway
toll-like receptor signaling pathway|TIRAP-dependent toll-like receptor signaling pathway
toll-like receptor signaling pathway|toll-like receptor 15 signaling pathway
toll-like receptor signaling pathway|toll-like receptor 21 signaling pathway
toll-like receptor signaling pathway|toll-like receptor TLR1:TLR2 signaling pathway
toll-like receptor signaling pathway|toll-like receptor TLR6:TLR2 signaling pathway
natural killer cell mediated immunity|natural killer cell cytokine production
natural killer cell mediated immunity|natural killer cell mediated immune response to tumor cell
natural killer cell mediated immunity|natural killer cell mediated cytotoxicity
lymphocyte anergy|B cell anergy
lymphocyte anergy|T cell anergy
adaptive immune response|adaptive immune response based on somatic recombination of immune receptors built from leucine-rich repeat domains
adaptive immune response|adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
organ or tissue specific immune response|immune response in brain or nervous system
organ or tissue specific immune response|hepatic immune response
organ or tissue specific immune response|mucosal immune response
immune effector process|cell activation involved in immune response
immune effector process|granuloma formation
immune effector process|immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
immune effector process|immune complex clearance
immune effector process|leukocyte mediated immunity
immune effector process|leukocyte migration involved in immune response
immune effector process|respiratory burst involved in defense response
immune effector process|complement activation
immune effector process|opsonization
immune effector process|induced systemic resistance, jasmonic acid mediated signaling pathway
immune effector process|induced systemic resistance, ethylene mediated signaling pathway
immune effector process|encapsulation of foreign target
immune effector process|leukocyte degranulation
immune effector process|defense response to virus
activation of immune response|activation of innate immune response
activation of immune response|immune response-activating signal transduction
activation of immune response|complement activation
lymphocyte homeostasis|B cell homeostasis
lymphocyte homeostasis|mucosal lymphocyte homeostasis
lymphocyte homeostasis|T cell homeostasis
myeloid cell homeostasis|neutrophil homeostasis
myeloid cell homeostasis|mast cell homeostasis
myeloid cell homeostasis|erythrocyte homeostasis
myeloid cell homeostasis|monocyte homeostasis
myeloid cell homeostasis|macrophage homeostasis
cell activation involved in immune response|endothelial cell activation involved in immune response
cell activation involved in immune response|astrocyte activation involved in immune response
cell activation involved in immune response|follicular dendritic cell activation involved in immune response
cell activation involved in immune response|leukocyte activation involved in immune response
endothelial cell activation involved in immune response|endothelial cell activation within high endothelial venule involved in immune response
plasmacytoid dendritic cell activation|plasmacytoid dendritic cell activation involved in immune response
plasmacytoid dendritic cell activation|plasmacytoid dendritic cell differentiation
plasmacytoid dendritic cell activation involved in immune response|plasmacytoid dendritic cell differentiation involved in immune response
plasmacytoid dendritic cell differentiation|plasmacytoid dendritic cell differentiation involved in immune response
myeloid leukocyte activation|myeloid dendritic cell activation
myeloid leukocyte activation|myeloid cell activation involved in immune response
myeloid leukocyte activation|granulocyte activation
myeloid leukocyte activation|macrophage activation
myeloid leukocyte activation|monocyte activation
myeloid leukocyte activation|mast cell activation
myeloid cell activation involved in immune response|basophil activation involved in immune response
myeloid cell activation involved in immune response|myeloid dendritic cell activation involved in immune response
myeloid cell activation involved in immune response|eosinophil activation involved in immune response
myeloid cell activation involved in immune response|mast cell activation involved in immune response
myeloid cell activation involved in immune response|monocyte activation involved in immune response
myeloid cell activation involved in immune response|macrophage activation involved in immune response
myeloid cell activation involved in immune response|neutrophil activation involved in immune response
basophil activation involved in immune response|basophil degranulation
myeloid dendritic cell activation involved in immune response|myeloid dendritic cell differentiation involved in immune response
eosinophil activation involved in immune response|eosinophil degranulation
mast cell activation involved in immune response|mast cell degranulation
macrophage activation involved in immune response|microglial cell activation involved in immune response
neutrophil activation involved in immune response|neutrophil degranulation
lymphocyte activation involved in immune response|T cell activation involved in immune response
lymphocyte activation involved in immune response|B cell activation involved in immune response
lymphocyte activation involved in immune response|natural killer cell activation involved in immune response
T cell activation involved in immune response|alpha-beta T cell activation involved in immune response
T cell activation involved in immune response|gamma-delta T cell activation involved in immune response
T cell activation involved in immune response|T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
T cell activation involved in immune response|T cell differentiation involved in immune response
T cell activation involved in immune response|T cell proliferation involved in immune response
T cell activation involved in immune response|cytotoxic T cell degranulation
alpha-beta T cell activation involved in immune response|NK T cell activation involved in immune response
alpha-beta T cell activation involved in immune response|alpha-beta T cell differentiation involved in immune response
alpha-beta T cell activation involved in immune response|alpha-beta T cell proliferation involved in immune response
NK T cell activation involved in immune response|NK T cell proliferation involved in immune response
gamma-delta T cell activation involved in immune response|gamma-delta T cell differentiation involved in immune response
gamma-delta T cell activation involved in immune response|gamma-delta T cell proliferation involved in immune response
T cell differentiation involved in immune response|alpha-beta T cell differentiation involved in immune response
T cell differentiation involved in immune response|gamma-delta T cell differentiation involved in immune response
T cell differentiation involved in immune response|memory T cell differentiation
alpha-beta T cell differentiation involved in immune response|CD4-positive, alpha-beta T cell differentiation involved in immune response
alpha-beta T cell differentiation involved in immune response|CD8-positive, alpha-beta T cell differentiation involved in immune response
CD4-positive, alpha-beta T cell differentiation involved in immune response|CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
CD4-positive, alpha-beta T cell differentiation involved in immune response|T-helper cell differentiation
alpha-beta intraepithelial T cell differentiation|CD8-positive, alpha-beta intraepithelial T cell differentiation
alpha-beta intraepithelial T cell differentiation|CD4-positive, alpha-beta intraepithelial T cell differentiation
gamma-delta intraepithelial T cell differentiation|CD8-positive, gamma-delta intraepithelial T cell differentiation
gamma-delta intraepithelial T cell differentiation|CD4-positive gamma-delta intraepithelial T cell differentiation
T cell proliferation involved in immune response|alpha-beta T cell proliferation involved in immune response
T cell proliferation involved in immune response|gamma-delta T cell proliferation involved in immune response
alpha-beta T cell proliferation involved in immune response|NK T cell proliferation involved in immune response
B cell activation involved in immune response|mature B cell differentiation involved in immune response
B cell activation involved in immune response|B cell proliferation involved in immune response
B cell activation involved in immune response|isotype switching
mature B cell differentiation involved in immune response|germinal center B cell differentiation
mature B cell differentiation involved in immune response|marginal zone B cell differentiation
mature B cell differentiation involved in immune response|follicular B cell differentiation
mature B cell differentiation involved in immune response|plasma cell differentiation
mature B cell differentiation involved in immune response|memory B cell differentiation
natural killer cell activation involved in immune response|natural killer cell proliferation involved in immune response
natural killer cell activation involved in immune response|natural killer cell differentiation involved in immune response
natural killer cell activation involved in immune response|natural killer cell degranulation
immature B cell differentiation|pre-B cell differentiation
immature B cell differentiation|transitional stage B cell differentiation
transitional stage B cell differentiation|transitional one stage B cell differentiation
transitional stage B cell differentiation|transitional two stage B cell differentiation
mature B cell differentiation|B-1 B cell differentiation
mature B cell differentiation|mature B cell differentiation involved in immune response
B cell selection|central B cell selection
B cell selection|peripheral B cell selection
B cell selection|B cell positive selection
B cell selection|B cell negative selection
central B cell selection|central B cell positive selection
central B cell selection|central B cell negative selection
peripheral B cell selection|B cell affinity maturation
peripheral B cell selection|peripheral B cell positive selection
peripheral B cell selection|peripheral B cell negative selection
B cell positive selection|central B cell positive selection
B cell positive selection|peripheral B cell positive selection
B cell negative selection|central B cell negative selection
B cell negative selection|peripheral B cell negative selection
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation|CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
leukocyte activation involved in immune response|plasmacytoid dendritic cell activation involved in immune response
leukocyte activation involved in immune response|myeloid cell activation involved in immune response
leukocyte activation involved in immune response|lymphocyte activation involved in immune response
cytokine production involved in immune response|B cell cytokine production
cytokine production involved in immune response|T cell cytokine production
cytokine production involved in immune response|natural killer cell cytokine production
cytokine production involved in immune response|dendritic cell cytokine production
cytokine production involved in immune response|myeloid leukocyte cytokine production
T cell cytokine production|CD4-positive, alpha-beta T cell cytokine production
dendritic cell cytokine production|myeloid dendritic cell cytokine production
dendritic cell cytokine production|plasmacytoid dendritic cell cytokine production
immune system process|leukocyte homeostasis
immune system process|somatic diversification of immune receptors
immune system process|immune effector process
immune system process|activation of immune response
immune system process|myeloid cell homeostasis
immune system process|B cell selection
immune system process|antigen sampling in mucosal-associated lymphoid tissue
immune system process|production of molecular mediator of immune response
immune system process|tolerance induction
immune system process|immune system development
immune system process|immune response
immune system process|antigen processing and presentation
immune system process|lymphocyte costimulation
immune system process|hemocyte proliferation
immune system process|hemocyte differentiation
immune system process|T cell selection
immune system process|leukocyte activation
immune system process|leukocyte migration
immunoglobulin production|immunoglobulin production involved in immunoglobulin mediated immune response
immunoglobulin production involved in immunoglobulin mediated immune response|immunoglobulin production in mucosal tissue
mucosal immune response|innate immune response in mucosa
mucosal immune response|immune response in mucosal-associated lymphoid tissue
mucosal immune response|immune response in urogenital tract
mucosal immune response|mucosal tolerance induction
immune response in mucosal-associated lymphoid tissue|immune response in gut-associated lymphoid tissue
immune response in mucosal-associated lymphoid tissue|tolerance induction in mucosal-associated lymphoid tissue
immune response in gut-associated lymphoid tissue|immune response in Peyer's patch
immune response in gut-associated lymphoid tissue|tolerance induction in gut-associated lymphoid tissue
immune response in gut-associated lymphoid tissue|immune response in nasopharyngeal-associated lymphoid tissue
immune response in Peyer's patch|tolerance induction in Peyer's patch
tolerance induction in gut-associated lymphoid tissue|tolerance induction in Peyer's patch
tolerance induction in gut-associated lymphoid tissue|tolerance induction in nasopharyngeal-associated lymphoid tissue
immune response in nasopharyngeal-associated lymphoid tissue|tolerance induction in nasopharyngeal-associated lymphoid tissue
tolerance induction in mucosal-associated lymphoid tissue|tolerance induction in gut-associated lymphoid tissue
tolerance induction in mucosal-associated lymphoid tissue|B cell tolerance induction in mucosal-associated lymphoid tissue
tolerance induction in mucosal-associated lymphoid tissue|T cell tolerance induction in mucosal-associated lymphoid tissue
antigen sampling in mucosal-associated lymphoid tissue|antigen sampling by dendritic cells in mucosal-associated lymphoid tissue
antigen sampling in mucosal-associated lymphoid tissue|antigen sampling by M cells in mucosal-associated lymphoid tissue
dendritic cell chemotaxis|myeloid dendritic cell chemotaxis
dendritic cell chemotaxis|plasmacytoid dendritic cell chemotaxis
myeloid dendritic cell chemotaxis|Langerhans cell chemotaxis
tolerance induction to tumor cell|T cell tolerance induction to tumor cell
immune response to tumor cell|tolerance induction to tumor cell
immune response to tumor cell|natural killer cell mediated immune response to tumor cell
immune response to tumor cell|T cell mediated immune response to tumor cell
immune response in urogenital tract|tolerance induction in urogenital tract
natural killer cell mediated immune response to tumor cell|natural killer cell mediated cytotoxicity directed against tumor cell target
T cell mediated immune response to tumor cell|T cell tolerance induction to tumor cell
T cell mediated immune response to tumor cell|T cell mediated cytotoxicity directed against tumor cell target
mucosal tolerance induction|tolerance induction in mucosal-associated lymphoid tissue
mucosal tolerance induction|tolerance induction in urogenital tract
antigen processing and presentation of peptide antigen via MHC class Ib|antigen processing and presentation of endogenous peptide antigen via MHC class Ib
antigen processing and presentation of peptide antigen via MHC class Ib|antigen processing and presentation of exogenous peptide antigen via MHC class Ib
immune response-activating cell surface receptor signaling pathway|innate immune response activating cell surface receptor signaling pathway
immune response-activating cell surface receptor signaling pathway|complement receptor mediated signaling pathway
immune response-activating cell surface receptor signaling pathway|Fc receptor mediated stimulatory signaling pathway
immune response-activating cell surface receptor signaling pathway|antigen receptor-mediated signaling pathway
complement receptor mediated signaling pathway|complement component C5a signaling pathway
Fc receptor mediated stimulatory signaling pathway|Fc-gamma receptor signaling pathway involved in phagocytosis
Fc receptor mediated stimulatory signaling pathway|positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis|Fc-gamma receptor signaling pathway involved in phagocytosis
immune complex clearance|immune complex clearance by erythrocytes
immune complex clearance|immune complex clearance by monocytes and macrophages
inflammatory response to antigenic stimulus|acute inflammatory response to antigenic stimulus
inflammatory response to antigenic stimulus|chronic inflammatory response to antigenic stimulus
inflammatory response to antigenic stimulus|histamine secretion mediated by immunoglobulin
acute inflammatory response to antigenic stimulus|hypersensitivity
production of molecular mediator of immune response|cytokine production involved in immune response
production of molecular mediator of immune response|immunoglobulin production
production of molecular mediator of immune response|antimicrobial peptide production
production of molecular mediator of immune response|granzyme A production
production of molecular mediator of immune response|perforin production
production of molecular mediator of immune response|granulysin production
production of molecular mediator of immune response|granzyme B production
production of molecular mediator of immune response|prostaglandin secretion involved in immune response
leukocyte mediated immunity|leukocyte mediated cytotoxicity
